Latitude,Longitude,Accident Severity,Weather,Road Type,Hour
14.225428825627604,76.7455533951376,Serious,Rainy,Urban,15
21.857199120570378,87.55195243768262,Minor,Rainy,Urban,14
22.490791083113535,72.63447186733319,Serious,Rainy,Highway,1
22.652071965867993,88.02142249978421,Serious,Clear,Rural,19
18.831105833930014,73.0547758518045,Minor,Foggy,Highway,13
19.3403840595063,77.42447785078177,Serious,Clear,Highway,3
29.35624125320829,77.55024198191978,Minor,Foggy,Urban,3
14.251548739653447,75.69365843631883,Minor,Foggy,Highway,8
16.711380642974895,76.87795126283739,Minor,Clear,Rural,2
13.760168124396378,76.35446214198544,Minor,Clear,Rural,14
28.826358126630232,77.14576462000804,Minor,Rainy,Rural,2
12.525413069083752,77.41500063826703,Minor,Rainy,Highway,5
27.78835310297709,76.48090677128117,Minor,Foggy,Highway,13
28.487349544225687,77.13595280762252,Fatal,Clear,Rural,6
16.362028711676167,75.30331395753198,Fatal,Rainy,Urban,5
27.301032952075815,76.12348670258766,Minor,Rainy,Urban,16
13.56574377746027,80.05421386776878,Serious,Foggy,Urban,2
21.606859305256858,87.32095086015214,Minor,Foggy,Urban,23
23.056571689179176,86.4279105087024,Minor,Rainy,Urban,2
14.143962392864077,75.859440319316,Minor,Clear,Rural,17
29.828368519999138,76.96980662911196,Serious,Foggy,Rural,0
18.896154271960874,73.1922965742068,Serious,Rainy,Rural,21
11.241695137438509,76.82727229734981,Serious,Foggy,Urban,20
13.734322834799743,76.44669434048046,Fatal,Rainy,Urban,17
10.370172773787722,76.43272641458697,Minor,Clear,Urban,13
14.839408224280337,74.77832200479853,Serious,Clear,Highway,22
21.686555038043785,87.32221115584849,Serious,Foggy,Highway,14
27.358767309358086,76.1413278972909,Minor,Clear,Urban,14
13.009974154419787,78.28955328772956,Minor,Foggy,Rural,21
16.37134778560436,78.91018070043249,Fatal,Rainy,Highway,1
16.453925023341785,76.1634438041887,Serious,Clear,Highway,19
27.637627535786635,76.74340001777725,Minor,Rainy,Highway,15
26.037268128997297,77.24077721153627,Minor,Foggy,Highway,10
13.204152089081763,77.27467597361183,Minor,Foggy,Rural,20
22.826289002931013,87.29629864744633,Fatal,Foggy,Urban,0
23.96200072966963,77.73538932994306,Minor,Clear,Urban,3
16.87533575282122,77.16812714471021,Minor,Foggy,Urban,1
28.791944636788134,77.29103423212462,Serious,Clear,Highway,5
12.30637220444428,77.3603190501486,Fatal,Rainy,Highway,12
21.752399784030754,87.44718865010364,Serious,Clear,Highway,23
27.430599441049086,77.209324706618,Minor,Foggy,Highway,15
12.479388882220432,77.4399612788072,Minor,Foggy,Urban,20
19.897357309851298,77.39312934189441,Minor,Clear,Rural,4
20.330859989911534,76.61497355045088,Serious,Clear,Urban,18
19.234506222738254,73.31568443317387,Minor,Rainy,Urban,4
12.840605070263168,77.56316005366509,Serious,Rainy,Rural,6
17.23772264046948,78.18842884376731,Minor,Foggy,Urban,0
24.523033959511725,77.27695345896282,Fatal,Clear,Urban,16
14.919908331391825,79.51656683103103,Minor,Clear,Urban,18
19.92950590514969,73.26082610738342,Serious,Clear,Rural,3
22.77566473252663,87.49495950089477,Minor,Rainy,Highway,15
26.98054593267769,80.19980897756923,Minor,Foggy,Highway,14
22.939209795814854,72.56247747318018,Minor,Rainy,Highway,15
19.039553615425586,72.95845455841483,Minor,Rainy,Highway,22
26.999090215866726,75.85887088146437,Fatal,Rainy,Urban,11
21.868607264811544,72.68728504053966,Serious,Clear,Urban,12
19.7989750287391,75.13293151536253,Minor,Foggy,Highway,11
27.963407592687595,76.64412456622152,Minor,Rainy,Urban,14
23.20837238606194,85.82491764894962,Serious,Foggy,Rural,6
25.166935313201236,77.27926130170573,Minor,Foggy,Rural,7
12.376122600940061,77.38724119361416,Minor,Clear,Urban,9
17.405338738817527,74.5823198804051,Serious,Rainy,Rural,2
28.77266130611832,77.18831969071293,Serious,Rainy,Highway,1
13.04516464053626,77.54979063185375,Serious,Foggy,Highway,11
23.0802481927634,86.30062979870634,Fatal,Rainy,Rural,4
13.064876133310028,79.7258027457721,Minor,Foggy,Urban,12
13.750206774935263,77.05433679566613,Serious,Clear,Rural,8
15.621780021228247,74.09599890281825,Minor,Clear,Highway,18
28.119799387989875,76.96665638810337,Minor,Clear,Urban,16
17.895378196396088,73.77651924387725,Minor,Foggy,Highway,2
30.19473239716532,76.88206925074287,Serious,Foggy,Urban,0
17.446990517381337,78.48347561256517,Serious,Rainy,Rural,12
22.783806787964146,87.51286596558988,Serious,Rainy,Urban,1
20.496137252893934,77.15233986112818,Serious,Foggy,Rural,7
16.20595811483748,75.62325092415034,Minor,Foggy,Rural,23
29.808072487627378,77.80903871474061,Minor,Rainy,Urban,10
18.4825446959598,73.84902557786684,Minor,Clear,Highway,11
14.272229659999661,77.5285372286733,Serious,Clear,Highway,11
16.104618074486993,78.99789202944197,Fatal,Foggy,Rural,8
11.537723443409138,77.13128614862427,Minor,Rainy,Highway,19
16.121117693957864,75.33114104634734,Minor,Clear,Rural,9
15.785977301126648,74.56862079436999,Serious,Rainy,Urban,4
21.082704019256006,77.40633239384312,Fatal,Clear,Urban,16
22.913644400442013,86.9068310248729,Minor,Foggy,Urban,2
15.69741403049826,79.18103548562733,Minor,Foggy,Rural,1
28.05055407856928,76.7030825559743,Minor,Clear,Highway,14
22.309665737164792,88.08557079111283,Minor,Rainy,Urban,19
21.068507355462533,72.72383915255642,Minor,Rainy,Highway,9
16.374318643489296,78.9003682878349,Minor,Rainy,Rural,2
13.179395040196336,77.3158695059101,Minor,Clear,Rural,9
13.3216174747587,77.28135005207389,Serious,Rainy,Highway,11
30.462454951776095,76.81019517411757,Serious,Rainy,Highway,16
20.62451300819848,72.73161622534252,Serious,Clear,Highway,4
18.639159421579745,73.19076283481105,Minor,Foggy,Urban,15
14.565086811123255,75.24325864117279,Minor,Foggy,Urban,7
16.544847480847025,76.37962251421446,Minor,Clear,Rural,21
18.981893492332162,72.99071897070019,Minor,Clear,Rural,4
16.15809683481,77.51355073210937,Minor,Rainy,Highway,2
29.104313532583202,77.07630365728187,Minor,Rainy,Urban,23
28.078817737755283,76.78355877834758,Serious,Foggy,Highway,13
12.545666537165037,77.42730093754254,Minor,Foggy,Urban,20
15.021730697801694,76.20630711419214,Minor,Foggy,Rural,7
25.015442425578453,77.58605741366392,Fatal,Clear,Rural,18
18.151098271662196,73.58764081274255,Fatal,Foggy,Urban,12
11.057458633871255,76.75503766933433,Minor,Rainy,Rural,15
26.8508356403794,76.4400250625306,Serious,Rainy,Urban,14
20.020480903011467,72.81625561532798,Serious,Clear,Rural,7
19.933545435561037,75.40626749790266,Minor,Rainy,Highway,21
18.825930982726295,73.09364428052852,Minor,Foggy,Rural,0
18.762810456194824,73.39392116348331,Minor,Rainy,Rural,10
22.94560369860687,72.57477740680706,Minor,Rainy,Rural,14
20.890781423371504,86.46324027713912,Minor,Clear,Highway,4
22.817086975281672,87.41439606976313,Minor,Clear,Urban,12
27.130175296807565,76.51660445466203,Minor,Foggy,Urban,20
24.03333151439666,75.08923363925051,Minor,Clear,Rural,15
27.89483834686579,76.6147682382494,Minor,Foggy,Urban,9
22.733410259480944,88.0656192216356,Fatal,Clear,Highway,3
